排序,平台名称,所属,行业,类别,网址,列表页URL,免登录看列表,需注册供应商,反爬,每天维修类公告估计,估计方法,证据URL,证据级别,核查状态,备注
72,中国华能集团电子商务平台,华能集团,电力,集团SRM,http://ec.chng.com.cn/ecmall/more.do?type=103,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,http://ec.chng.com.cn/ecmall/more.do?type=103,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
73,中广核电子商务平台,中国广核集团,电力,集团SRM,https://ecp.cgnpc.com.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://ecp.cgnpc.com.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
74,中核集团电子采购平台,中国核工业集团,电力,集团SRM,http://www.cnncecp.com/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,http://cnncecp.toobiao.com/,二手（未原样核）,网址来自搜索结果；可访问性没查,官方域名www.cnncecp.com由搜索摘要文字给出，未在链接列表中直接出现，故evidence_url采用可见的镜像链接，未打开逐一核实
75,北京京能电子商务平台（京能e购）,京能集团,电力,集团SRM,https://www.powerbeijing-eshop.com/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://www.powerbeijing-eshop.com/biddingBulletin/2026-03-17/314073.html,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
76,南方电网供应链统一服务平台,南方电网,电力,集团SRM,https://www.bidding.csg.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://www.bidding.csg.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,另有南方电网电子采购交易平台ecsg.com.cn，疑为集团另一采购系统，未逐一核实关系
77,国家电投电子商务平台（电能e招采）,国家电投集团,电力,集团SRM,https://ebid.espic.com.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://ebid.espic.com.cn/sdny_bulletin/2022-05-08/31289.html,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,平台由国家电投全资子公司中国电能成套设备有限公司旗下电能易购建设运营
78,国家电网新一代电子商务平台（ECP）,国家电网,电力,集团SRM,https://ecp.sgcc.com.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://ecp.sgcc.com.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
79,国家能源集团招标平台（国能e招）,国家能源集团,电力,集团SRM,https://www.chnenergybidding.com.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://www.chnenergybidding.com.cn/bidweb/001/001005/7313.html,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,该域名疑为电力招标信息网镜像站，未查到国家能源集团一级官方域名，未打开核实归属；修正：原记录为镜像 e-chnenergy.dlzbxx.com；C2 搜索结果原样出现官方域名 chnenergybidding.com.cn 的公告链接（C2/候选链接.jsonl 第21、36行）
80,大唐电子商务平台,大唐集团,电力,集团SRM,https://www.cdt-ec.com/home/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://www.cdt-ec.com/home/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
81,浙江能源集团智慧供应链一体化平台,浙能集团,电力,集团SRM,https://zsrm.zjenergy.com.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://zsrm.zjenergy.com.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,另有浙能商务网zeec.cn/zeec.dlzbxx.com，疑为集团旧平台，未逐一核实
82,包钢电子采购智慧平台,包钢集团,钢铁,集团SRM,https://bdep.btsteel.com/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://bdep.btsteel.com/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,搜索摘要提及投标前需办理CA数字证书、响应文件须加密上传，未打开核实
83,建龙云采（龙翔云商）,建龙集团,钢铁,集团SRM,https://ebuy.longscs.com/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://ebuy.longscs.com/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,搜索结果称其为“建龙集团唯一的采购平台”
84,欧冶云商,中国宝武钢铁集团,钢铁,集团SRM,https://www.ouyeel.com/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://www.ouyeel.com/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,修正：存疑：欧冶云商主要是钢材交易平台，宝武设备维修采购是否在此发布未核
85,沙钢集团电子采购门户,沙钢集团,钢铁,集团SRM,https://ebs.shasteel.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://ebs.shasteel.cn/pur_portal/tel-us.html,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,搜索摘要提及供应商需登录平台完成注册、资质审核等，未打开核实
86,河钢供应链管理平台,河钢集团,钢铁,集团SRM,http://www.hbisscm.com/index,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,http://www.hbisscm.com/index,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,
87,鞍钢智慧招投标平台,鞍钢集团,钢铁,集团SRM,https://bid.ansteel.cn/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://bid.ansteel.cn/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,另有鞍钢集团电子招投标交易平台ansteelscm.com，疑为同集团另一系统，未逐一核实
88,首钢招标采购平台,首钢集团,钢铁,集团SRM,https://zb.sggylpt.com/,,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,没查（云端出网被拦，待本地探测）,,数不出来：云端无法打开页面,https://zb.sggylpt.com/,一手（搜索结果原样出现，未打开）,网址来自搜索结果；可访问性没查,搜索摘要提及投标需在线注册登录、下载文件前需付费800元(平台使用费)，未打开核实
89,华新水泥集团自建采购平台,华新水泥,水泥,集团SRM,,,,,,,,,,查了没有（搜索未找到自建平台网址）,仅查到华新水泥各分公司在千里马招标网等第三方平台发布询比价公告，未发现华新自建的集团级电子采购平台
90,亚泰电子招标采购平台,亚泰集团,水泥,集团SRM,,,,,,,,https://m.emailbak.com/zc/,二手（镜像/第三方）,查了有平台，但只搜到第三方镜像、没搜到官方网址（镜像见证据URL）,该链接为第三方镜像页面，未查到亚泰集团官方一级域名，故url留空
91,山水水泥集团自建采购平台,山水水泥集团,水泥,集团SRM,,,,,,,,,,查了没有（搜索未找到自建平台网址）,仅查到山水集团官网基本信息，未发现其电子采购/招标平台
92,华菱集团自建电子采购平台,华菱钢铁（Valin）,钢铁,集团SRM,,,,,,,,,,查了没有（搜索未找到自建平台网址）,仅查到华菱钢铁官网及下属涟源钢铁招标公告页面，未发现华菱集团级别的电子采购/招标平台
93,恒力集团自建电子采购平台,恒力集团/恒力石化,化工,集团SRM,,,,,,,,,,查了没有（搜索未找到自建平台网址）,仅查到恒力相关项目分散刊登在中国石化、中国化学等第三方招标平台，未发现恒力集团自建的采购/招标平台
94,中国华电集团电子商务平台,华电集团,电力,集团SRM,,,,,,,,https://hddz.ccpc360.com/,二手（镜像/第三方）,查了有平台，但只搜到第三方镜像、没搜到官方网址（镜像见证据URL）,搜索结果多为第三方镜像站(ccpc360.com等)，未找到华电集团一级官方域名，url留空
95,广东能源集团自建采购平台,广东能源集团,电力,集团SRM,,,,,,,,,,查了没有（搜索未找到自建平台网址）,搜索结果中广东能源相关招标均刊登在广东省机电设备招标中心(gdebidding.com)等第三方平台，以及疑似第三方镜像“广东能源商务网”(gdydb2b.toobiao.com)，未发现广东能源集团自建的一级官方采购域名
96,申能集团自建电子采购平台,申能集团,电力,集团SRM,,,,,,,,,,查了没有（搜索未找到自建平台网址）,搜索结果显示申能相关招标项目由上海机电设备招标有限公司(SMEETC，shbid.com)等第三方代理机构平台发布，未发现申能集团自建的电子采购平台
97,云南铜业独立自建采购平台,云南铜业,有色,集团SRM,,,,,,,,,,查了没有（搜索未找到自建平台网址）,云南铜业为中铝集团下属企业，其采购主要通过中铝集团绿星链通招标平台及“中铜阳光采购平台”进行，未发现云南铜业自身独立的集团级采购平台
98,洛阳钼业独立自建采购平台,洛阳钼业,有色,集团SRM,,,,,,,,,,查了没有（搜索未找到自建平台网址）,搜索结果未见洛阳钼业自建的集团级电子采购/招标平台，其相关矿业子公司招标多刊登在洛阳市公共资源交易中心等地方公共平台
99,安徽省公共资源交易电子服务平台,安徽省,综合,省ggzy,,,,,,,,https://ahggzy.dljczb.com/,二手（镜像/第三方）,查了有平台，但只搜到第三方镜像、没搜到官方网址（镜像见证据URL）,域名非 gov.cn，为第三方技术支持域名，未打开核实是否官方唯一入口；修正：只搜到第三方技术支持域名，按镜像规则留空
