项目,文件名,日期,扩展名,文档类型,描述,页数或行数,字数,工序阶段,脱敏风险,摘要,置信度
内部群,内部_投标记录_260411_01.xlsx,260411,xlsx,投标记录,投标记录,9,4459,无法判断,金额报价,"投 标 总 价 招 标 人： 工 程 名 称： 投标总价（小写）： （大写）： 投 标 人： 法定代表人 或其授权人： 编 制 人： 编 制 时 间： 碱改新建仓库安装工程 324,145.00元 叁",高
内部群,内部_物资清单_260411_01.xlsx,260411,xlsx,清单,物资清单,8,9985,无法判断,金额报价,分部分项工程和单价措施项目清单与计价表 工程名称：应城市新都化工有限责任公司盐化绿色转型及产品结构调整升级项目-小苏打包装工段安装工程 序号 项目名称 项目特征描述 计量&#13;&#10;单位 暂定,高
内部群,2026投标记录-武汉开明__msg4_LHPDLz_1fcq52VzlStTw==.xlsx,260730,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msg4F2EjfgGkeUsN8Ylla5ngQ==.xlsx,260811,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msg4ILgqGjwEVmr2Ik2ynBjrw==.xlsx,260612,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msg4fOna9DO_yfdKs_y_seR0g==.xlsx,260818,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msg6+NoSipz5tay2hMTYHFY3g==.xlsx,260615,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msg6FAPdRVa6sj9wlCYLNi5RA==.xlsx,260414,xlsx,,,,,,,,
内部群,内部_物资清单_260417_01.xlsx,260417,xlsx,清单,物资清单,16,20000,无法判断,客户名称、金额报价,招 标 人： 工 程 名 称： 嘉施利（宜城）化肥有限公司热法磷酸项目安装工程 含税合同总价（小写）： （大写）： 投 标 人： （单位盖章） 法定代表人&#13;&#10;或其授权人： （签字或盖章,高
内部群,2026投标记录-武汉开明__msg7liYFcPh4GJCIAZ9nYfM6g==.xlsx,260722,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msg8yQrM8zvqS1F5oHnJDzcbg==.xlsx,260616,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgAag5ixGzXKWIJGrnlSqAUA==.xlsx,260723,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgB+oFKillggxK7maQB+M3eg==.xlsx,260717,xlsx,,,,,,,,
内部群,碱改新建仓库建筑工程(1).xlsx,260415,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgBgStOm7rpjoguT5e4oxR7w==.xlsx,260812,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgBhQzXjebPRonChWszekrfw==.xlsx,260715,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgCjRZzA7DsMq88EGRue7yqA==.xlsx,260804,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgCq2Cm4RR4DykTS2k2LM8+w==.xlsx,260814,xlsx,,,,,,,,
内部群,气化水煤浆提浓项目安装工程—报价核心要点.pdf,260428,pdf,,,,,,,,
内部群,内部_物资清单_260623_01.xlsx,260623,xlsx,清单,物资清单,8,8232,无法判断,客户名称、金额报价,分部分项工程和单价措施项目清单与计价表 工程名称：嘉施利(应城)化肥有限公司造粒塔项目拆除工程 人工 工期 人工费 耗材 机械设备 单项合计 备注 序号 项目名称 项目特征描述 计量单位 暂定工程量 ,高
内部群,2026投标记录-武汉开明__msgEDlbv1INtFqE_Y+P9UNxJw==.xlsx,260707,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgERsK4mWsOZBAMacmZ8EQNg==.xlsx,260402,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgEZUJynIFE0J0_uIXiWHDIQ==.xlsx,260408,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgF_tkLNo0GgWcU8m9mJthRg==.xlsx,260624,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgFQQdfYVxYx_p0gjH86Hv+A==.xlsx,260806,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgGBfxRTsY2MJGG+DGjH81Vg==.xlsx,260727,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgGXO_Psb7xxaObLG71+4cTA==.xlsx,260702,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgHfhwwFmzhoQIW29xtTafrA==.xlsx,260731,xlsx,,,,,,,,
内部群,1、邵总报价--《嘉施利（宜城）化肥有限公司选矿项目防腐保温工程》.xlsx,260518,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgJ3J7wUAHJs6cX5WfFcW1Iw==.xlsx,260701,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgJrlm6o3izwQa0zesMJn4fA==.xlsx,260617,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgL9iTQOQKvOt6MpUMt3QfKQ==.xlsx,260817,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgMiPVPvM5hkam_9vdoGyKFQ==.xlsx,260708,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgNoRvLFEeyo+ElnKcVZpNeA==.xlsx,260710,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgOHY5pCnBA7KJVIRPijOxXQ==.xlsx,260709,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgOOHWIOHrRVSmEyz7iBZNtg==.xlsx,260721,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgOmJb65oHXy8YCLlJybFFzw==.xlsx,260713,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明(10).xlsx,260407,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgPqKg7_yNaKvH+7E4m9UnCg==.xlsx,260724,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgRmA3kZIM3aLmQEevSmPAVA==.xlsx,260622,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明(11).xlsx,260413,xlsx,,,,,,,,
内部群,内部_投标记录_260415_01.xlsx,260415,xlsx,投标记录,投标记录,11,6013,无法判断,金额报价,"投 标 总 价 招 标 人： 工 程 名 称： 投标总价（小写）： （大写）： 投 标 人： 法定代表人 或其授权人： 编 制 人： 编 制 时 间： 碱改新建仓库安装工程 326,132.82元 叁",高
内部群,17--青海发投碱业有限公司轻灰3#热母液管线大修项目 竞价比选文件.docx,260327,docx,,,,,,,,
内部群,2、工程量清单——《嘉施利（宜城）化肥有限公司选矿项目安装工程》.xlsx,260506,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgX6BStGC_YOpVt9cFd9W8aw==.xlsx,260331,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgXdpTuIThX3Zhy6VQlRyLDg==.xlsx,260714,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgY7yFpBY0v_NczBwWwVdcUA==.xlsx,260410,xlsx,,,,,,,,
内部群,内部_报价单_260616_01.pdf,260616,pdf,报价单,报价单,4,0,无法判断,客户名称、金额报价,,高
内部群,碱改新建仓库.xlsx,260411,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgbi7KDsQC71iDAcbc4dLg1w==.xlsx,260611,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgc9suurlvRtvLFxjn38ex5Q==.xlsx,260625,xlsx,,,,,,,,
内部群,越堡回转窑#1轮带（西）托轮表面裂纹情况20260305.docx,260417,docx,技术资料,,0,21,加工,无,检测位置示意图 第一道裂纹： 第二道裂纹：,
内部群,2026投标记录-武汉开明__msgeL_KcSQISrXXwohf6MWlpg==.xlsx,260626,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgfH14XQXXiGryDbhsrt20Lg==.xlsx,260630,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明(9).xlsx,260403,xlsx,,,,,,,,
内部群,7.关键条款澄清-应城市新都化工有限责任公司盐化绿色转型及产品结构调整升级项目-小苏打包装工段安装工程.xlsx,260411,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgjofPYRjjxkJ_eOzrYK1UKA==.xlsx,260803,xlsx,,,,,,,,
内部群,5、工程量清单-应城市新都化工有限责任公司盐化绿色转型及产品结构调整升级项目-小苏打包装工段安装工程.xlsx,260415,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgk3vkN8gyptcR0dRaJvcsQw==.xlsx,260703,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgkWVp94IwRgDIRihce4oTSA==.xlsx,260409,xlsx,,,,,,,,
内部群,260327成本测算-煅烧车间轻、重灰煅烧炉托轮送修项目.xlsx,260327,xlsx,,,,,,,,
内部群,内部_报价单_260518_01.xlsx,260518,xlsx,报价单,报价单,12,16312,无法判断,客户名称、金额报价,招 标 人： 嘉施利（宜城）化肥有限公司 工 程 名 称： 嘉施利（宜城）化肥有限公司选矿项目防腐保温工程 含税合同总价（小写）： （大写）： 投 标 人： （单位盖章） 法定代表人&#13;&#10,高
内部群,项目前期管理配套表格--江西亚东水泥有限公司五号窑头胎环滑板更换等工作.docx,260421,docx,其他,,0,2205,无法判断,客户名称,湖北开明高新 项目前期管理配套表格 一、派遣单 文件编号 ： KM-ZD-2026- 4 - 20 项目名称 ：江西亚东水泥有限公司五号窑头胎环滑板更换等工作 派遣部门 ：商务部 序号 项目 内容填写,
内部群,2026投标记录-武汉开明__msgm_zWOSuSKd9gR16DSYK8iQ==.xlsx,260411,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgmYUrMMy+A3jr50M+qy7qDA==.xlsx,260805,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明(7).xlsx,260327,xlsx,,,,,,,,
内部群,碱改新建仓库建筑工程.xlsx,260411,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgnkVh96Rf_h1OpxzWARvP0Q==.xlsx,260621,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgoT6VQ9SiPkRNU4UzTo5N6Q==.xlsx,260706,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgoVGvYxwIrjY30BmyF7bc6Q==.xlsx,260613,xlsx,,,,,,,,
内部群,珠水回转窑1# （北）托轮表面裂纹情况20260302.docx,260417,docx,技术资料,,0,85,复检,无,检测位置示意图 2413000 3175 -14605 6985 1297940 69850 140 × 190面积裂纹 140 × 190面积裂纹 7620 43815,
内部群,2026投标记录-武汉开明__msgq56LwMWUPSm526PiFSyWVA==.xlsx,260729,xlsx,,,,,,,,
内部群,内部_物资清单_260428_01.xlsx,260428,xlsx,清单,物资清单,14,20000,无法判断,金额报价,招 标 人： 应城市新都化工有限责任公司 工 程 名 称： 应城市新都化工有限责任公司盐化绿色转型及产品结构调整升级项目-气化水煤浆提浓项目安装工程 含税合同总价（小写）： （大写）： 投 标 人： ,高
内部群,2026投标记录-武汉开明__msgrWpGhIn5uRcxSc1U_u4SIg==.xlsx,260807,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgsqGogHYmWiROWgAqU58CnQ==.xlsx,260629,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgtyg3elkY62pYArHRQTbvMA==.xlsx,260330,xlsx,,,,,,,,
内部群,内部_投标记录_260429_01.et,260429,et,投标记录,投标记录,0,20000,无法判断,客户名称、金额报价,搜标日期 投标名称 甲方名称 参与公司 信息来源 业务员 截止报名时间 截止投标时间 状态 报价(元) 税率 报价日期 投标结果 中标金额(元) 中标结果时间 标书费 投标保证金 限价 结果说明 备注,高
内部群,2026投标记录-武汉开明__msguVy0rPPY95H_f0LNTMYPWg==.xlsx,260623,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgufArMA8I8o3mJ+1dCW7P0g==.xlsx,260813,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgvWzUbLVf5Ir_llpJ8Qw74A==.xlsx,260716,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明(8).xlsx,260401,xlsx,,,,,,,,
内部群,2026投标记录-武汉开明__msgy78hz6aK9xcpKn1tOByrgg==.xlsx,260720,xlsx,,,,,,,,
内部群,碱改新建仓库(1).xlsx,260415,xlsx,,,,,,,,
内部群,应城市新都化工有限责任公司盐化绿色转型及产品结构调整升级项目2026-2027年度维修土建工程采购公告.pdf,260807,pdf,通知公告,,1,0,无法判断,无,,
内部群,内部_证明材料_260622_01.pdf,260622,pdf,证明材料,证明材料,1,160,无法判断,客户名称、金额报价,贷款结清证明 兹证明武汉开明高新科技有限公司在我行申请的借据号JK20260609NS0M00012063项下的贷款金 额2000000.00元，发放日期为2026年06月09日，到期日为2029年0,高
内部群,农商行需要资料8.3.zip,260804,zip,其他,,0,0,无法判断,无,,
内部群,开票 60000元，预交企业所得税 税收完税证明2026-05-07 17ː03ː52.pdf,260507,pdf,票据,,1,451,无法判断,金额报价,第2 次打印 妥 善 保 管 No●337035260500035280 填发日期： 2026 年 5 月 7 日 税务机关： 国家税务总局淄博市淄川区税务局第一税务 分局（办税服务厅） 纳税人识别号,
内部群,武汉开明 4月份外管项目 完税证明 PDF合并.pdf,260512,pdf,票据,,8,4327,无法判断,金额报价,妥 善 保 管 No●334175260500013085 填发日期： 2026 年 5 月 7 日 税务机关：国家税务总局东至县税务局 纳税人识别号 91420111758179067T 纳税人名称,
内部群,新疆宜化预交税金 2026.6.9  PDF合并.pdf,260609,pdf,票据,,2,1102,无法判断,无,妥 善 保 管 No●365235260600014548 填发日期： 2026 年 6 月 9 日 税务机关： 国家税务总局新疆准东经济技术开发区税务 局 纳税人识别号 91420111758179,
内部群,内部_明细账_260803_02.xlsx,260803,xlsx,明细账,明细账,110,8804,无法判断,无,明细账 明细账 明细账 明细账 明细账 明细账 明细账 明细账 明细账 明细账 明细账 明细账 公司名称：湖北开明高新 公司名称：湖北开明高新 公司名称：湖北开明高新 公司名称：湖北开明高新 公司名称,高
内部群,内部_明细账_260803_01.xlsx,260803,xlsx,明细账,明细账,147,20000,无法判断,客户名称、金额报价,明细账 公司名称：武汉开明高新科技有限公司 期间：202606-202606 币别：综合本位币 科目编码 科目名称 辅助核算 日期 业务日期 凭证字号 摘要 对方科目 借方 贷方 余额 方向 金额 1,高
内部群,开票 40000元，预交增值税及附加 税收完税证明2026-05-07 16ː39ː50.pdf,260507,pdf,票据,,1,599,无法判断,金额报价,妥 善 保 管 No●334175260500007249 填发日期： 2026 年 5 月 7 日 税务机关：国家税务总局东至县税务局 纳税人识别号 91420111758179067T 纳税人名称,
内部群,湖北开明补充资料8.5.zip,260805,zip,其他,,0,0,无法判断,无,,
内部群,内部_投标记录_260819_01.xlsx,260819,xlsx,投标记录,投标记录,5,20000,无法判断,客户名称、金额报价,搜标日期 投标名称 甲方名称 参与公司 信息来源 业务员 截止报名时间 投标截止日期 状态 报价(元) 税率 报价日期 投标结果 中标金额(元) 中标单位 开标结果时间 标书费 投标保证金 限价 是否,高
